"StichtagDatJahr","QuarBisherSort","QuarBisherCd","QuarBisherLang","KreisBisherCd","QuarSort","QuarCd","QuarLang","KreisCd","AnzUmzuWir"
1993,61,"61","Unterstrass","6",72,"72","Hottingen","7",71
1993,61,"61","Unterstrass","6",73,"73","Hirslanden","7",35
1993,61,"61","Unterstrass","6",74,"74","Witikon","7",41
1993,61,"61","Unterstrass","6",81,"81","Seefeld","8",25
1993,61,"61","Unterstrass","6",82,"82","Mühlebach","8",34
1993,61,"61","Unterstrass","6",83,"83","Weinegg","8",26
1993,61,"61","Unterstrass","6",91,"91","Albisrieden","9",48
1993,61,"61","Unterstrass","6",92,"92","Altstetten","9",64
1993,61,"61","Unterstrass","6",101,"101","Höngg","10",77
1993,61,"61","Unterstrass","6",102,"102","Wipkingen","10",155
1993,61,"61","Unterstrass","6",111,"111","Affoltern","11",87
1993,61,"61","Unterstrass","6",115,"115","Oerlikon","12",154
1993,61,"61","Unterstrass","6",119,"119","Seebach","12",89
1993,61,"61","Unterstrass","6",121,"121","Saatlen","12",26
1993,61,"61","Unterstrass","6",122,"122","Schwamendingen-Mitte","12",47
1993,61,"61","Unterstrass","6",123,"123","Hirzenbach","12",35
1993,63,"63","Oberstrass","6",11,"11","Rathaus","1",17
1993,63,"63","Oberstrass","6",12,"12","Hochschulen","1",5
1993,63,"63","Oberstrass","6",13,"13","Lindenhof","1",3
1993,63,"63","Oberstrass","6",14,"14","City","1",3
1993,63,"63","Oberstrass","6",21,"21","Wollishofen","2",20
1993,63,"63","Oberstrass","6",23,"23","Leimbach","2",3
1993,63,"63","Oberstrass","6",24,"24","Enge","2",15
1993,63,"63","Oberstrass","6",31,"31","Alt-Wiedikon","3",27
1993,63,"63","Oberstrass","6",33,"33","Friesenberg","3",13
1993,63,"63","Oberstrass","6",34,"34","Sihlfeld","3",57
1993,63,"63","Oberstrass","6",41,"41","Werd","4",8
1993,63,"63","Oberstrass","6",42,"42","Langstrasse","4",35
1993,63,"63","Oberstrass","6",44,"44","Hard","4",27
1993,63,"63","Oberstrass","6",51,"51","Gewerbeschule","5",38
1993,63,"63","Oberstrass","6",52,"52","Escher Wyss","5",13
1993,63,"63","Oberstrass","6",61,"61","Unterstrass","6",146
1993,63,"63","Oberstrass","6",63,"63","Oberstrass","6",235
1993,63,"63","Oberstrass","6",71,"71","Fluntern","7",76
1993,63,"63","Oberstrass","6",72,"72","Hottingen","7",54
1993,63,"63","Oberstrass","6",73,"73","Hirslanden","7",32
1993,63,"63","Oberstrass","6",74,"74","Witikon","7",22
1993,63,"63","Oberstrass","6",81,"81","Seefeld","8",23
1993,63,"63","Oberstrass","6",82,"82","Mühlebach","8",31
1993,63,"63","Oberstrass","6",83,"83","Weinegg","8",15
1993,63,"63","Oberstrass","6",91,"91","Albisrieden","9",27
1993,63,"63","Oberstrass","6",92,"92","Altstetten","9",27
1993,63,"63","Oberstrass","6",101,"101","Höngg","10",23
1993,63,"63","Oberstrass","6",102,"102","Wipkingen","10",70
1993,63,"63","Oberstrass","6",111,"111","Affoltern","11",25
1993,63,"63","Oberstrass","6",115,"115","Oerlikon","12",46
1993,63,"63","Oberstrass","6",119,"119","Seebach","12",37
1993,63,"63","Oberstrass","6",121,"121","Saatlen","12",8
1993,63,"63","Oberstrass","6",122,"122","Schwamendingen-Mitte","12",28
1993,63,"63","Oberstrass","6",123,"123","Hirzenbach","12",19
1993,71,"71","Fluntern","7",11,"11","Rathaus","1",14
1993,71,"71","Fluntern","7",12,"12","Hochschulen","1",6
1993,71,"71","Fluntern","7",13,"13","Lindenhof","1",12
1993,71,"71","Fluntern","7",14,"14","City","1",5
1993,71,"71","Fluntern","7",21,"21","Wollishofen","2",14
1993,71,"71","Fluntern","7",23,"23","Leimbach","2",0
1993,71,"71","Fluntern","7",24,"24","Enge","2",8
1993,71,"71","Fluntern","7",31,"31","Alt-Wiedikon","3",14
1993,71,"71","Fluntern","7",33,"33","Friesenberg","3",8
1993,71,"71","Fluntern","7",34,"34","Sihlfeld","3",28
1993,71,"71","Fluntern","7",41,"41","Werd","4",8
1993,71,"71","Fluntern","7",42,"42","Langstrasse","4",22
1993,71,"71","Fluntern","7",44,"44","Hard","4",6
1993,71,"71","Fluntern","7",51,"51","Gewerbeschule","5",20
1993,71,"71","Fluntern","7",52,"52","Escher Wyss","5",1
1993,71,"71","Fluntern","7",61,"61","Unterstrass","6",52
1993,71,"71","Fluntern","7",63,"63","Oberstrass","6",76
1993,71,"71","Fluntern","7",71,"71","Fluntern","7",145
1993,71,"71","Fluntern","7",72,"72","Hottingen","7",74
1993,71,"71","Fluntern","7",73,"73","Hirslanden","7",47
1993,71,"71","Fluntern","7",74,"74","Witikon","7",19
1993,71,"71","Fluntern","7",81,"81","Seefeld","8",23
1993,71,"71","Fluntern","7",82,"82","Mühlebach","8",13
1993,71,"71","Fluntern","7",83,"83","Weinegg","8",28
1993,71,"71","Fluntern","7",91,"91","Albisrieden","9",59
1993,71,"71","Fluntern","7",92,"92","Altstetten","9",26
1993,71,"71","Fluntern","7",101,"101","Höngg","10",18
1993,71,"71","Fluntern","7",102,"102","Wipkingen","10",48
1993,71,"71","Fluntern","7",111,"111","Affoltern","11",12
1993,71,"71","Fluntern","7",115,"115","Oerlikon","12",21
1993,71,"71","Fluntern","7",119,"119","Seebach","12",9
1993,71,"71","Fluntern","7",121,"121","Saatlen","12",1
1993,71,"71","Fluntern","7",122,"122","Schwamendingen-Mitte","12",1
1993,71,"71","Fluntern","7",123,"123","Hirzenbach","12",3
1993,72,"72","Hottingen","7",11,"11","Rathaus","1",18
1993,72,"72","Hottingen","7",12,"12","Hochschulen","1",5
1993,72,"72","Hottingen","7",13,"13","Lindenhof","1",4
1993,72,"72","Hottingen","7",14,"14","City","1",7
1993,72,"72","Hottingen","7",21,"21","Wollishofen","2",33
1993,72,"72","Hottingen","7",23,"23","Leimbach","2",5
1993,72,"72","Hottingen","7",24,"24","Enge","2",40
1993,72,"72","Hottingen","7",31,"31","Alt-Wiedikon","3",51
1993,72,"72","Hottingen","7",33,"33","Friesenberg","3",11
1993,72,"72","Hottingen","7",34,"34","Sihlfeld","3",60
1993,72,"72","Hottingen","7",41,"41","Werd","4",24
1993,72,"72","Hottingen","7",42,"42","Langstrasse","4",45
1993,72,"72","Hottingen","7",44,"44","Hard","4",27
1993,72,"72","Hottingen","7",51,"51","Gewerbeschule","5",47
1993,72,"72","Hottingen","7",52,"52","Escher Wyss","5",6
1993,72,"72","Hottingen","7",61,"61","Unterstrass","6",62
1993,72,"72","Hottingen","7",63,"63","Oberstrass","6",68
1993,72,"72","Hottingen","7",71,"71","Fluntern","7",69
1993,72,"72","Hottingen","7",72,"72","Hottingen","7",198
1993,72,"72","Hottingen","7",73,"73","Hirslanden","7",68
1993,72,"72","Hottingen","7",74,"74","Witikon","7",80
1993,72,"72","Hottingen","7",81,"81","Seefeld","8",38
1993,72,"72","Hottingen","7",82,"82","Mühlebach","8",27
1993,72,"72","Hottingen","7",83,"83","Weinegg","8",33
1993,72,"72","Hottingen","7",91,"91","Albisrieden","9",24
1993,72,"72","Hottingen","7",92,"92","Altstetten","9",39
1993,72,"72","Hottingen","7",101,"101","Höngg","10",30
1993,72,"72","Hottingen","7",102,"102","Wipkingen","10",43
1993,72,"72","Hottingen","7",111,"111","Affoltern","11",15
1993,72,"72","Hottingen","7",115,"115","Oerlikon","12",25
1993,72,"72","Hottingen","7",119,"119","Seebach","12",30
1993,72,"72","Hottingen","7",121,"121","Saatlen","12",1
1993,72,"72","Hottingen","7",122,"122","Schwamendingen-Mitte","12",11
1993,72,"72","Hottingen","7",123,"123","Hirzenbach","12",12
1993,73,"73","Hirslanden","7",11,"11","Rathaus","1",9
1993,73,"73","Hirslanden","7",12,"12","Hochschulen","1",0
1993,73,"73","Hirslanden","7",13,"13","Lindenhof","1",5
1993,73,"73","Hirslanden","7",14,"14","City","1",3
1993,73,"73","Hirslanden","7",21,"21","Wollishofen","2",20
1993,73,"73","Hirslanden","7",23,"23","Leimbach","2",4
1993,73,"73","Hirslanden","7",24,"24","Enge","2",13
1993,73,"73","Hirslanden","7",31,"31","Alt-Wiedikon","3",20
1993,73,"73","Hirslanden","7",33,"33","Friesenberg","3",3
1993,73,"73","Hirslanden","7",34,"34","Sihlfeld","3",16
1993,73,"73","Hirslanden","7",41,"41","Werd","4",6
1993,73,"73","Hirslanden","7",42,"42","Langstrasse","4",25
1993,73,"73","Hirslanden","7",44,"44","Hard","4",3
1993,73,"73","Hirslanden","7",51,"51","Gewerbeschule","5",12
1993,73,"73","Hirslanden","7",52,"52","Escher Wyss","5",2
1993,73,"73","Hirslanden","7",61,"61","Unterstrass","6",33
1993,73,"73","Hirslanden","7",63,"63","Oberstrass","6",35
1993,73,"73","Hirslanden","7",71,"71","Fluntern","7",18
1993,73,"73","Hirslanden","7",72,"72","Hottingen","7",77
1993,73,"73","Hirslanden","7",73,"73","Hirslanden","7",83
1993,73,"73","Hirslanden","7",74,"74","Witikon","7",34
1993,73,"73","Hirslanden","7",81,"81","Seefeld","8",17
1993,73,"73","Hirslanden","7",82,"82","Mühlebach","8",23
1993,73,"73","Hirslanden","7",83,"83","Weinegg","8",41
1993,73,"73","Hirslanden","7",91,"91","Albisrieden","9",2
1993,73,"73","Hirslanden","7",92,"92","Altstetten","9",20
1993,73,"73","Hirslanden","7",101,"101","Höngg","10",15
1993,73,"73","Hirslanden","7",102,"102","Wipkingen","10",24
1993,73,"73","Hirslanden","7",111,"111","Affoltern","11",10
1993,73,"73","Hirslanden","7",115,"115","Oerlikon","12",18
1993,73,"73","Hirslanden","7",119,"119","Seebach","12",9
1993,73,"73","Hirslanden","7",121,"121","Saatlen","12",0
1993,73,"73","Hirslanden","7",122,"122","Schwamendingen-Mitte","12",3
1993,73,"73","Hirslanden","7",123,"123","Hirzenbach","12",1
1993,74,"74","Witikon","7",11,"11","Rathaus","1",4
1993,74,"74","Witikon","7",12,"12","Hochschulen","1",2
1993,74,"74","Witikon","7",13,"13","Lindenhof","1",6
1993,74,"74","Witikon","7",14,"14","City","1",1
1993,74,"74","Witikon","7",21,"21","Wollishofen","2",15
